ids,indices,split,max_lat,max_lon,min_lat,min_lon
0,4813734,train,47.95622253,2.055749655,47.94274521,2.035627365
1,2521449,train,44.9811554,5.02602911,44.96691895,5.005907059
2,11061277,train,48.29722214,-0.06274732200000001,48.28383255,-0.082869582
3,9752925,train,47.21443176,4.661942005,47.20075989,4.641819477
4,2856654,train,48.18857956,-4.209190845,48.17515945,-4.229313374
5,6311085,train,50.28692245,4.088636875,50.27406311,4.068514824
6,11205071,train,49.80703735,2.408158779,49.79404831,2.388036489
7,9929102,train,48.21133041,1.095809937,48.19791794,1.075687647
8,4132203,train,46.32314301,5.581008434,46.30924225,5.560885906
9,10978252,train,48.67061234,7.768405914,48.65732193,7.748283862999999
10,4427604,train,46.14972305,4.184397697,46.13578033,4.164275169
11,707897,train,48.55467987,4.275576591,48.54135895,4.255454063
12,3271712,train,43.68806076,-0.16982650800000001,43.67350769,-0.189948767
13,4760652,train,48.04458237,3.0002384189999995,48.03112793,2.980116129
14,11383504,train,48.15628815,3.733533144,48.14286041,3.7134108539999997
15,10491136,train,44.60618591,3.6384913919999997,44.59185791,3.618369102
16,7945806,train,46.30192184,6.469532012999999,46.28801727,6.449409485
17,3699560,train,48.48357391,-1.760383606,48.47023773,-1.780505776
18,9123879,train,46.27864456,1.396565914,46.26473236,1.376443624
19,1308264,train,45.64445496,-0.12347343599999999,45.63038635,-0.143595695
20,5573344,train,48.85950089,3.698139429,48.84626007,3.6780171389999996
21,10186564,train,48.25022507,-1.255081177,48.23682404,-1.275203466
22,3889626,train,47.3278656,0.8983601929999999,47.31422424,0.878237963
23,10555305,train,48.56175613,-0.9961867329999999,48.54843521,-1.016309023
24,6518043,train,48.92322922,0.20234552,48.91000748,0.18222326
25,6224199,train,48.88709259,6.606165886,48.87385941,6.5860433579999995
26,2197251,train,46.09542847,2.005803347,46.081474299999996,1.9856810569999999
27,4570133,train,45.19431686,3.740809441,45.18013763,3.7206871510000004
28,6062114,train,47.96380234,-2.6844804289999997,47.95032883,-2.7046027180000003
29,5965677,train,49.17005157,5.736776352000001,49.15689468,5.716653824
30,9540860,train,48.04938507,4.430895329,48.03593445,4.410772799999999
31,1488455,train,45.75719833,-0.45692807399999996,45.74315643,-0.47705033399999996
32,11171727,train,47.03675079,-0.41219195700000005,47.02303696,-0.43231421700000006
33,2811527,train,48.53856277,-3.8060271739999996,48.52523804,-3.826149464
34,2368307,train,45.46896362,0.729476929,45.45485306,0.7093546390000001
35,565034,train,49.72080994,4.439429283,49.70780182,4.419306755
36,968077,train,44.58552551,2.515686989,44.57118988,2.495564699
37,10096620,train,43.77776337,0.410575002,43.76323318,0.390452743
38,1761037,train,45.39994049,2.254546881,45.38580704,2.234424591
39,2123986,train,48.58790588,-2.363422632,48.57459641,-2.383544922
40,6559271,train,48.78385162,-0.07864750200000001,48.77059174,-0.09876976900000001
41,6921399,train,43.47201157,-0.33520636,43.45740509,-0.355328619
42,2891393,train,47.89042664,-3.517398357,47.87693024,-3.537520647
43,8963976,train,46.7097435,0.452705979,46.69594574,0.432583719
44,759247,train,42.868484499999994,2.545600891,42.85373306,2.525478601
45,8677793,train,44.05530548,4.841515064,44.04084396,4.821393013
46,7886652,train,45.87108994,5.935573101,45.85707474,5.91545105
47,5558581,train,48.72533798,4.156908989,48.71206284,4.136786938
48,5858934,train,48.75898743,6.41599226,48.74571991,6.395870209
49,1128217,train,49.26680756,0.282565087,49.25367737,0.262442797
50,250709,train,46.65193558,2.8141973019999997,46.63812256,2.794075012
51,1995558,train,48.47505951,-3.5358138080000003,48.46171951,-3.555936098
52,3377799,train,44.97276688,-0.340236902,44.95852661,-0.360359162
53,616911,train,42.88619232,1.530953765,42.871444700000005,1.510831594
54,8730949,train,46.62633896,-1.668126583,46.61251831,-1.688248873
55,2128759,train,48.106884,-2.537516117,48.09344482,-2.557638407
56,4562673,train,44.8891983,3.962783098,44.87494278,3.942660809
57,2909736,train,48.46999741,-4.465480328,48.45665359,-4.485602856
58,6905888,train,45.8795929,3.09528017,45.86558533,3.0751578810000004
59,1271329,train,45.19659805,2.266224861,45.18241501,2.2461025709999998
60,3610585,train,48.05076981,-1.262537241,48.03731537,-1.282659531
61,2147738,train,46.19668961,1.7589463,46.18275833,1.73882401
62,10755130,train,47.25645447,3.399539471,47.24279785,3.3794171810000004
63,6252944,train,46.73665619,3.5158712860000003,46.72286224,3.4957489969999997
64,2265432,train,46.36202621,1.401416779,46.3481369,1.381294489
65,3571025,train,48.00907516,-1.4236949680000002,47.9956131,-1.4438172580000002
66,5091980,train,44.60963821,3.391813993,44.59531021,3.371691704
